filename,level_1,grapheme,phoneme,filenameFixed,level_1,graphemeFixed,phonemeFixed
1808_-_Frases,7,é,\E\\e\.\l\\ej\.\t\\u\,1808_-_Frases,7,é,\E\\e\'\l\\ej\.\t\\u\
1808_-_Frases,7,primeiro,\p\\r\\e\'\z\\i\.\d\\e~\.\tS\\i\,1808_-_Frases,7,primeiro,\p\\r\\e\.\z\\i\'\d\\e~\.\tS\\i\
1808_-_Frases,7,dos,\e\\s\.\t\\a\.\d\\u\\z\,1808_-_Frases,7,dos,\e\\s\'\t\\a\.\d\\u\\z\
1808_-_Frases,12,em,\e~j~\.\v\\i\.\e~\.\n\\a\\pau\,1808_-_Frases,12,em,\e~j~\'\v\\i\.\e~\.\n\\a\\pau\
1808_-_Frases,12,de,\f\\E\.\b\\r\\i\\pau\,1808_-_Frases,12,de,'\f\\E\.\b\\r\\i\\pau\
1808_-_Frases,12,"febre,",'\a\\w\\s\,1808_-_Frases,12,"febre,",\a\\w\\s\
1808_-_Frases,12,aos,\t\\r\\i~\.\t\\a\,1808_-_Frases,12,aos,'\t\\r\\i~\.\t\\a\
1808_-_Frases,12,35,'\i\,1808_-_Frases,12,35,\i\
1808_-_Frases,12,anos,\s\\i~\.\k\\u\,1808_-_Frases,12,anos,'\s\\i~\.\k\\u\
1808_-_Frases,14,rainha,'\R\\a\.\i~\.\J\\a\,1808_-_Frases,14,rainha,\R\\a\'\i~\.\J\\a\
1808_-_Frases,14,Antonieta,\a~\.\t\\o\'\n\\i\.\E\.\t\\a\,1808_-_Frases,14,Antonieta,\a~\.\t\\o\.\n\\i\'\E\.\t\\a\
1808_-_Frases,14,em,\e~j~\.\p\\a\.\r\\i\\js\,1808_-_Frases,14,em,\e~j~\'\p\\a\.\r\\i\\js\
1808_-_Frases,16,Bonaparte,\a~\.\n\\u\\s\\pau\,1808_-_Frases,16,Bonaparte,'\a~\.\n\\u\\s\\pau\
1808_-_Frases,16,derrota,\n\\a\.\p\\o\'\l\\e\.\a~\\w~\,1808_-_Frases,16,derrota,\n\\a\.\p\\o\.\l\\e\'\a~\\w~\
1808_-_Frases,18,André,\a~\'\d\\r\\E\\Z\\a\\k\.\k\\i\\s\,1808_-_Frases,18,André,'\a~\.\d\\r\\E\\Z\\a\\k\.\k\\i\\s\
1808_-_Frases,18,Jacques,'\g\\a\\R\.\n\\e\.\r\\i~\,1808_-_Frases,18,Jacques,\g\\a\\R\.\n\\e\'\r\\i~\
1808_-_Frases,18,Garnerin,\d\\e\.\m\\o~\\s\'\t\\r\\a\,1808_-_Frases,18,Garnerin,\d\\e\'\m\\o~\\s\.\t\\r\\a\
1808_-_Frases,18,o,\s\\e\\u\,1808_-_Frases,18,o,'\s\\e\\u\
1808_-_Frases,18,seu,'\i~\.\v\\e~\.\t\\u\\pau\,1808_-_Frases,18,seu,\i~\'\v\\e~\.\t\\u\\pau\
1808_-_Frases,18,o,\p\\a\.\r\\a\,1808_-_Frases,18,o,'\p\\a\.\r\\a\
1808_-_Frases,18,saltando,'\s\\a\\w\.\t\\a~\.\d\\u\,1808_-_Frases,18,saltando,\s\\a\\w\'\t\\a~\.\d\\u\
1808_-_Frases,18,balão,\b\\a\.\l\\a~\\w~\,1808_-_Frases,18,balão,\b\\a\'\l\\a~\\w~\
1808_-_Frases,18,1000,\m\\i\\w\,1808_-_Frases,18,1000,'\m\\i\\w\
1808_-_Frases,18,de,'\dZ\\i\,1808_-_Frases,18,de,\dZ\\i\
1808_-_Frases,18,"altura,",\a\\w\.\t\\u\.\r\\a\\pau\,1808_-_Frases,18,"altura,",\a\\w\'\t\\u\.\r\\a\\pau\
1808_-_Frases,22,em,\e~j~\.\l\\i\\z\.\b\\o\\a\,1808_-_Frases,22,em,\e~j~\'\l\\i\\z\.\b\\o\\a\
1808_-_Frases,22,a,\v\\a\.\s\\i~\.\n\\a\,1808_-_Frases,22,a,\v\\a\'\s\\i~\.\n\\a\
1808_-_Frases,22,vacina,\k\\o~\'\t\\r\\a\,1808_-_Frases,22,vacina,'\k\\o~\.\t\\r\\a\
1808_-_Frases,22,contra,'\a\,1808_-_Frases,22,contra,\a\
1808_-_Frases,22,a,\v\\a\.\r\\i\\o\.\l\\a\\pau\,1808_-_Frases,22,a,\v\\a\'\r\\i\\o\.\l\\a\\pau\
1808_-_Frases,22,"varíola,",\d\\e\\s\'\k\\o\.\b\\E\\X\.\t\\a\,1808_-_Frases,22,"varíola,",\d\\e\\s\.\k\\o\'\b\\E\\X\.\t\\a\
1808_-_Frases,22,descoberta,\p\\e\.\l\\u\,1808_-_Frases,22,descoberta,'\p\\e\.\l\\u\
1808_-_Frases,22,pelo,'\i~\.\g\\l\\e\\js\,1808_-_Frases,22,pelo,\i~\'\g\\l\\e\\js\
1808_-_Frases,22,inglês,\e\\dZ\\w\\a\\R\'\dZ\,1808_-_Frases,22,inglês,'\e\\dZ\\w\\a\\R\.\dZ\
1808_-_Frases,24,é,\E\\t\\r\\a~\\s\.\f\\e\.\r\\i\.\d\\u\,1808_-_Frases,24,é,\E\\t\\r\\a~\\s\.\f\\e\'\r\\i\.\d\\u\
1808_-_Frases,24,transferido,\p\\a\.\r\\a\,1808_-_Frases,24,transferido,'\p\\a\.\r\\a\
1808_-_Frases,24,para,'\a\,1808_-_Frases,24,para,\a\
1808_-_Frases,24,a,\n\\O\.\v\\a\,1808_-_Frases,24,a,'\n\\O\.\v\\a\
1808_-_Frases,24,nova,'\k\\a\.\p\\i\.\t\\a\\w\\pau\,1808_-_Frases,24,nova,\k\\a\.\p\\i\'\t\\a\\w\\pau\
1808_-_Frases,26,é,\E\\e\.\l\\ej\.\t\\u\,1808_-_Frases,26,é,\E\\e\'\l\\ej\.\t\\u\
1808_-_Frases,26,eleito,\k\\o~\'\s\\u\\w\,1808_-_Frases,26,eleito,'\k\\o~\.\s\\u\\w\
1808_-_Frases,26,cônsul,'\p\\e\\X\.\p\\E\\t\\u\\u\,1808_-_Frases,26,cônsul,\p\\e\\X\'\p\\E\\t\\u\\u\
1808_-_Frases,26,da,\f\\r\\a~\.\s\\a\,1808_-_Frases,26,da,'\f\\r\\a~\.\s\\a\
1808_-_Frases,35,"Austerlitz,",\n\\a\.\p\\o\.\l\\e\.\a~\\w~\,1808_-_Frases,35,"Austerlitz,",\n\\a\.\p\\o\.\l\\e\'\a~\\w~\
1808_-_Frases,35,Napoleão,\m\\a\.\s\\a\.\k\\r\\a\,1808_-_Frases,35,Napoleão,\m\\a\'\s\\a\.\k\\r\\a\
1808_-_Frases,35,as,\t\\r\\O\.\p\\a\\js\,1808_-_Frases,35,as,'\t\\r\\O\.\p\\a\\js\
