,grapheme,phoneme,filename
0,1808,'miw oj.to'se~.tuz i 'oj.tu,1808_-_Frases
1,"Como uma rainha louca, um príncipe medroso e uma corte corrupta enganaram Napoleão e mudaram a História de Portugal e do Brasil","'ko~.mu u~.ma Ra'i~.Ja 'low.ka, u~ 'pri~.si.pi me'dro.zu i u~.ma 'kOX.tSi ko'Rup.ta e~.ga'na.ra~w~ na.po.le'a~w~ i mu'da.ra~w~ a is'tOria dZi poX.tu'gaw i du bra'ziw",1808_-_Frases
2,Laurentino Gomes,la.u.re~'tSi~.nu 'go~.mis,1808_-_Frases
3,Da Revolução Francesa à Independência do Brasil,da Re.vo.lu'sa~w~ fra~'se.za a i~.de.pe~'de~.sia du bra'ziw,1808_-_Frases
4,Alguns dos acontecimentos que marcaram a época da fuga da família real portuguesa ao Brasil,aw'gu~s duz a.ko~.te.si~'me~.tus ki maX'ka.ra~w~ a 'Epo.ka da 'fu.ga da fa'milia Re'aw poX.tu'ge.za aw bra'ziw,1808_-_Frases
5,1789,'miw se.te'se~.tuz i oj'te~.ta i 'nO.vi,1808_-_Frases
6,"Revolucionários franceses tomam a Bastilha, prisão de Paris considerada símbolo da monarquia absoluta","Re.vo.lu.si.o'na.rius fra~'se.zis 'to~.ma~w~ a bas'tSi.La, pri'za~w~ dZi pa'rijs ko~.si.de'ra.da 'si~.bo.lu da mo.naX'kia ab.so'lu.ta",1808_-_Frases
7,George Washington é eleito primeiro presidente dos Estados Unidos,Ze'OR.Zi waSi~.gto~ Ee.lej'tu pri~'mej.ru pre.zi'de~.tSi duz es'ta.duz u~'ni.dus,1808_-_Frases
8,1790,'miw se.te'se~.tuz i no've~.ta,1808_-_Frases
9,A França adota o sistema decimal de pesos e medidas,a 'fra~.sa a'dO.ta u sis'te~.ma de.si~'maw dZi 'pe.zuz i me'dZi.dajs,1808_-_Frases
10,1791,'miw se.te'se~.tuz i no've~.ta i u~,1808_-_Frases
11,"Rebelião de escravos massacra fazendeiros brancos na colônia de São Domingos, no Caribe","Re.be.li'a~w~ dZi es'kra.vus ma'sa.kra fa.ze~'dej.rus 'bra~.kus na ko'lonia dZi 'sa~w~ do'mi~.gus, nu ka'ri.bi",1808_-_Frases
12,"Wolfgang Amadeus Mozart morre em Viena, de febre, aos 35 anos","'wOw.fga~.g a.ma'de.us 'mO.zaX.tS 'mO.Ri e~j~.vi'e~.na, dZi 'fE.bri, aws 'tri~.ta i 'si~.ku 'a~.nus",1808_-_Frases
13,1793,'miw se.te'se~.tuz i no've~.ta i 'trejs,1808_-_Frases
14,"O rei Luis XVI e a rainha Maria Antonieta são executados na guilhotina, em Paris","u 'Rej 'luis de.ze'sejz i a Ra'i~.Ja ma'ri.a a~.to.ni'E.ta 'sa~w~ e.ze.ku'ta.dus na gi.Lo'tSi~.na, e~j~.pa'rijs",1808_-_Frases
15,1795,'miw se.te'se~.tuz i no've~.ta i 'si~.ku,1808_-_Frases
16,"Aos 25 anos, Napoleão Bonaparte derrota as tropas austríacas na Itália","aws 'vi~.tSi i 'si~.ku 'a~.nus, na.po.le'a~w~ bo.na'paX.tSi de'RO.ta ajs 'trO.pajs aus'tria.kajs na i'ta.lia",1808_-_Frases
17,1797,'miw se.te'se~.tuz i no've~.ta i 'sE.tSi,1808_-_Frases
18,"O físico francês André Jacques Garnerin demonstra o seu invento, o pára-quedas, saltando de um balão a 1000 metros de altura, em Paris","u 'fisi.ku fra~'sejs a~.drEZak'kis gaR.ne'ri~ de'mo~s.tra u 'seu i~'ve~.tu, u 'pa.ra 'kE.dajs, saw'ta~.du dZi u~ ba'la~w~ a 'miw 'mE.trus dZi aw'tu.ra, e~j~.pa'rijs",1808_-_Frases
19,1798,'miw se.te'se~.tuz i no've~.ta i 'oj.tu,1808_-_Frases
