,level_1,grapheme,phoneme,filename
0,1,1808,'\m\\i\\w\,1808_-_Frases
0,1,,\o\\j\.\t\\o\'\s\\e~\.\t\\u\\z\,1808_-_Frases
0,1,,\i\,1808_-_Frases
0,1,,'\o\\j\.\t\\u\,1808_-_Frases
1,2,Como,'\k\\o~\.\m\\u\,1808_-_Frases
1,2,uma,\u~\.\m\\a\,1808_-_Frases
1,2,rainha,\R\\a\'\i~\.\J\\a\,1808_-_Frases
1,2,"louca,",'\l\\ow\.\k\\a\\pau\,1808_-_Frases
1,2,um,\u~\,1808_-_Frases
1,2,príncipe,'\p\\r\\i~\.\s\\i\.\p\\i\,1808_-_Frases
1,2,medroso,\m\\e\'\d\\r\\o\.\z\\u\,1808_-_Frases
1,2,e,\i\,1808_-_Frases
1,2,corte,'\k\\O\\X\.\tS\\i\,1808_-_Frases
1,2,corrupta,\k\\o\'\R\\u\\p\.\t\\a\,1808_-_Frases
1,2,enganaram,\e~\.\g\\a\'\n\\a\.\r\\a~\\w~\,1808_-_Frases
1,2,Napoleão,\n\\a\.\p\\o\.\l\\e\'\a~\\w~\,1808_-_Frases
1,2,mudaram,\m\\u\'\d\\a\.\r\\a~\\w~\,1808_-_Frases
1,2,a,\a\,1808_-_Frases
1,2,História,\i\\s\'\t\\O\\r\\i\\a\,1808_-_Frases
1,2,de,\dZ\\i\,1808_-_Frases
1,2,Portugal,\p\\o\\X\.\t\\u\'\g\\a\\w\,1808_-_Frases
1,2,do,\d\\u\,1808_-_Frases
1,2,Brasil,\b\\r\\a\'\z\\i\\w\,1808_-_Frases
2,3,Laurentino,\l\\a\.\u\.\r\\e~\'\tS\\i~\.\n\\u\,1808_-_Frases
2,3,Gomes,'\g\\o~\.\m\\i\\s\,1808_-_Frases
3,4,Da,\d\\a\,1808_-_Frases
3,4,Revolução,\R\\e\.\v\\o\.\l\\u\'\s\\a~\\w~\,1808_-_Frases
3,4,Francesa,\f\\r\\a~\'\s\\e\.\z\\a\,1808_-_Frases
3,4,à,\a\,1808_-_Frases
3,4,Independência,\i~\.\d\\e\.\p\\e~\'\d\\e~\.\s\\i\\a\,1808_-_Frases
4,5,Alguns,\a\\w\'\g\\u~\\s\,1808_-_Frases
4,5,dos,\d\\u\\z\,1808_-_Frases
4,5,acontecimentos,\a\.\k\\o~\.\t\\e\.\s\\i~\'\m\\e~\.\t\\u\\s\,1808_-_Frases
4,5,que,\k\\i\,1808_-_Frases
4,5,marcaram,\m\\a\\X\'\k\\a\.\r\\a~\\w~\,1808_-_Frases
4,5,época,'\E\\p\\o\.\k\\a\,1808_-_Frases
4,5,da,\d\\a\,1808_-_Frases
4,5,fuga,'\f\\u\.\g\\a\,1808_-_Frases
4,5,família,\f\\a\'\m\\i\\l\\i\\a\,1808_-_Frases
4,5,real,\R\\e\'\a\\w\,1808_-_Frases
4,5,portuguesa,\p\\o\\X\.\t\\u\'\g\\e\.\z\\a\,1808_-_Frases
4,5,ao,\a\\w\,1808_-_Frases
5,6,1789,'\m\\i\\w\,1808_-_Frases
5,6,,\s\\e\.\t\\e\'\s\\e~\.\t\\u\\z\,1808_-_Frases
5,6,,\o\\j\'\t\\e~\.\t\\a\,1808_-_Frases
5,6,,'\n\\O\.\v\\i\,1808_-_Frases
6,7,Revolucionários,\R\\e\.\v\\o\.\l\\u\.\s\\i\.\o\'\n\\a\.\r\\i\\u\\s\,1808_-_Frases
6,7,franceses,\f\\r\\a~\'\s\\e\.\z\\i\\s\,1808_-_Frases
6,7,tomam,'\t\\o~\.\m\\a~\\w~\,1808_-_Frases
6,7,"Bastilha,",\b\\a\\s\'\tS\\i\.\L\\a\\pau\,1808_-_Frases
6,7,prisão,\p\\r\\i\'\z\\a~\\w~\,1808_-_Frases
6,7,Paris,\p\\a\'\r\\i\\js\,1808_-_Frases
6,7,considerada,\k\\o~\.\s\\i\.\d\\e\'\r\\a\.\d\\a\,1808_-_Frases
6,7,símbolo,'\s\\i~\.\b\\o\.\l\\u\,1808_-_Frases
6,7,monarquia,\m\\o\.\n\\a\\X\'\k\\i\\a\,1808_-_Frases
6,7,absoluta,\a\\b\.\s\\o\'\l\\u\.\t\\a\,1808_-_Frases
7,8,George,\Z\\e\'\O\\R\.\Z\\i\,1808_-_Frases
7,8,Washington,\w\\a\\S\\i~\.\g\\t\\o~\,1808_-_Frases
7,8,é,\E\\e\.\l\\ej\.\t\\u\,1808_-_Frases
7,8,eleito,\p\\r\\i~\'\m\\ej\.\r\\u\,1808_-_Frases
7,8,primeiro,\p\\r\\e\'\z\\i\.\d\\e~\.\tS\\i\,1808_-_Frases
7,8,presidente,\d\\u\\z\,1808_-_Frases
7,8,dos,\e\\s\.\t\\a\.\d\\u\\z\,1808_-_Frases
7,8,Estados,\u~\'\n\\i\.\d\\u\\s\,1808_-_Frases
7,8,Unidos,,1808_-_Frases
8,9,1790,'\m\\i\\w\,1808_-_Frases
8,9,,\n\\o\'\v\\e~\.\t\\a\,1808_-_Frases
9,10,A,\a\,1808_-_Frases
9,10,França,'\f\\r\\a~\.\s\\a\,1808_-_Frases
9,10,adota,\a\'\d\\O\.\t\\a\,1808_-_Frases
9,10,o,\u\,1808_-_Frases
9,10,sistema,\s\\i\\s\'\t\\e~\.\m\\a\,1808_-_Frases
9,10,decimal,\d\\e\.\s\\i~\'\m\\a\\w\,1808_-_Frases
9,10,pesos,'\p\\e\.\z\\u\\z\,1808_-_Frases
9,10,medidas,\m\\e\'\dZ\\i\.\d\\a\\js\,1808_-_Frases
10,11,1791,'\m\\i\\w\,1808_-_Frases
10,11,,\u~\,1808_-_Frases
11,12,Rebelião,\R\\e\.\b\\e\.\l\\i\'\a~\\w~\,1808_-_Frases
11,12,escravos,\e\\s\'\k\\r\\a\.\v\\u\\s\,1808_-_Frases
11,12,massacra,\m\\a\'\s\\a\.\k\\r\\a\,1808_-_Frases
11,12,fazendeiros,\f\\a\.\z\\e~\'\d\\ej\.\r\\u\\s\,1808_-_Frases
11,12,brancos,'\b\\r\\a~\.\k\\u\\s\,1808_-_Frases
11,12,na,\n\\a\,1808_-_Frases
11,12,colônia,\k\\o\'\l\\o\\n\\i\\a\,1808_-_Frases
11,12,São,'\s\\a~\\w~\,1808_-_Frases
