,grapheme,phoneme,filename
0,Um,\u~\,Amor_de_Gato_-_Frases
0,amor,\a\'\m\\o\\R\,Amor_de_Gato_-_Frases
0,de,\dZ\\i\,Amor_de_Gato_-_Frases
0,gato,'\g\\a\.\t\\u\,Amor_de_Gato_-_Frases
1,Lições,\l\\i\'\s\\o~\\j~\\s\,Amor_de_Gato_-_Frases
1,quem,'\k\\e~\\m\,Amor_de_Gato_-_Frases
1,sabe,'\s\\a\.\b\\i\,Amor_de_Gato_-_Frases
1,viver,\v\\i\'\v\\e\\r\,Amor_de_Gato_-_Frases
1,a,\a\,Amor_de_Gato_-_Frases
1,vida,'\v\\i\.\d\\a\,Amor_de_Gato_-_Frases
2,Glenn,\g\\l\\e~\\n\,Amor_de_Gato_-_Frases
2,Dromgoole,\d\\r\\o~\.\g\\o\'\O\.\l\\i\,Amor_de_Gato_-_Frases
3,Seja,'\s\\e\.\Z\\a\,Amor_de_Gato_-_Frases
3,muito,'\m\\u\\j~\.\t\\u\,Amor_de_Gato_-_Frases
3,rigoroso,\R\\i\.\g\\o\'\r\\o\.\z\\u\,Amor_de_Gato_-_Frases
3,com,\k\\o~\,Amor_de_Gato_-_Frases
3,higiene,\i\.\Z\\i\'\e\.\n\\i\,Amor_de_Gato_-_Frases
3,pessoal,\p\\e\.\s\\o\'\a\\w\,Amor_de_Gato_-_Frases
4,De,\dZ\\i\,Amor_de_Gato_-_Frases
4,uma,\u~\.\m\\a\,Amor_de_Gato_-_Frases
4,boa,'\b\\o\\a\,Amor_de_Gato_-_Frases
4,espreguiçada,\e\\s\.\p\\r\\e\.\g\\i\'\s\\a\.\d\\a\,Amor_de_Gato_-_Frases
4,ao,\a\\w\,Amor_de_Gato_-_Frases
4,acordar,\a\.\k\\o\\R\'\d\\a\\r\,Amor_de_Gato_-_Frases
4,e,\i\,Amor_de_Gato_-_Frases
4,sempre,'\s\\e~\.\p\\r\\i\,Amor_de_Gato_-_Frases
4,que,\k\\i\,Amor_de_Gato_-_Frases
4,puder,\p\\u\'\d\\e\\X\,Amor_de_Gato_-_Frases
5,Se,\s\\i\,Amor_de_Gato_-_Frases
5,você,\v\\o\'\s\\e\,Amor_de_Gato_-_Frases
5,tem,\t\\e~j~\.\u~\,Amor_de_Gato_-_Frases
5,um,\t\\e~\'\p\\i~\.\J\\u\,Amor_de_Gato_-_Frases
5,tempinho,'\p\\a\.\r\\a\,Amor_de_Gato_-_Frases
5,para,\d\\e\\s\.\k\\a~\'\s\\a\\r\,Amor_de_Gato_-_Frases
5,descansar,\a\\w\,Amor_de_Gato_-_Frases
5,ao,'\s\\O\\w\\pau\,Amor_de_Gato_-_Frases
5,"sol,",\a\.\p\\r\\o\'\v\\ej\.\tS\\i\,Amor_de_Gato_-_Frases
5,aproveite.,,Amor_de_Gato_-_Frases
6,Observe,\o\\b\'\s\\E\\R\.\v\\i\,Amor_de_Gato_-_Frases
6,o,\u\,Amor_de_Gato_-_Frases
6,mundo,'\m\\u~\.\d\\u\,Amor_de_Gato_-_Frases
6,pela,'\p\\e\.\l\\a\,Amor_de_Gato_-_Frases
6,janela.,\Z\\a\'\n\\E\.\l\\a\,Amor_de_Gato_-_Frases
7,Saber,\s\\a\'\b\\e\\X\,Amor_de_Gato_-_Frases
7,se,\s\\i\,Amor_de_Gato_-_Frases
7,cuidar,\k\\u\\i\'\d\\a\\r\,Amor_de_Gato_-_Frases
7,é,\E\\u~\,Amor_de_Gato_-_Frases
7,um,'\t\\r\\u~\.\f\\u\,Amor_de_Gato_-_Frases
7,trunfo.,,Amor_de_Gato_-_Frases
8,Não,'\n\\a~\\w~\,Amor_de_Gato_-_Frases
8,tenha,'\t\\e~\.\J\\a\,Amor_de_Gato_-_Frases
8,mais,'\m\\a\\j\\s\,Amor_de_Gato_-_Frases
8,bebês,\b\\e\'\b\\e\\js\,Amor_de_Gato_-_Frases
8,do,\d\\u\,Amor_de_Gato_-_Frases
8,possa,'\p\\O\.\s\\a\,Amor_de_Gato_-_Frases
8,dar,'\d\\a\\X\,Amor_de_Gato_-_Frases
8,conta.,'\k\\o~\.\t\\a\,Amor_de_Gato_-_Frases
9,Depois,\d\\e\'\p\\o\\j\\s\,Amor_de_Gato_-_Frases
9,um,\u~\,Amor_de_Gato_-_Frases
9,dia,'\dZ\\i\.\a\,Amor_de_Gato_-_Frases
9,"difícil,",\dZ\\i\'\f\\i\\s\\i\\w\\pau\,Amor_de_Gato_-_Frases
9,carinho,\k\\a\'\r\\i~\.\J\\u\,Amor_de_Gato_-_Frases
9,gostoso,\g\\o\\s\'\t\\o\.\z\\u\,Amor_de_Gato_-_Frases
9,ajuda.,\a\'\Z\\u\.\d\\a\,Amor_de_Gato_-_Frases
10,O,\u\,Amor_de_Gato_-_Frases
10,melhor,\m\\e\'\L\\o\\R\,Amor_de_Gato_-_Frases
10,momento,\m\\o\'\m\\e~\.\t\\u\,Amor_de_Gato_-_Frases
10,para,'\p\\a\.\r\\a\,Amor_de_Gato_-_Frases
10,tirar,\tS\\i\'\r\\a\\r\,Amor_de_Gato_-_Frases
10,sonequinha,\s\\o\.\n\\e\'\k\\i~\.\J\\a\,Amor_de_Gato_-_Frases
10,é,\E\\a\'\g\\O\.\r\\a\,Amor_de_Gato_-_Frases
10,agora.,,Amor_de_Gato_-_Frases
